,cifar10,fashionmnist
0,36.18,70.66216432225065
1,50.472,79.08208120204604
2,58.01,81.77549552429667
3,62.808,82.74856138107417
4,64.966,83.8355179028133
5,67.088,84.41695971867007
6,68.626,85.00039961636828
7,69.64,85.25215792838874
8,70.598,85.5778452685422
9,71.282,85.73569373401534
10,76.14,87.61588874680307
11,76.732,87.87364130434783
12,77.414,87.77373721227622
13,77.422,88.04347826086956
14,77.716,87.9895300511509
15,77.8,88.00951086956522
16,78.032,88.04347826086956
17,78.532,88.03548593350384
18,78.55,88.2133152173913
19,78.954,88.12340153452685
20,82.452,89.69389386189258
21,83.202,90.00159846547315
22,83.568,89.82776534526855
23,83.622,89.83575767263427
24,83.582,90.03356777493606
25,83.774,89.90768861892583
26,83.71,89.94165601023018
27,83.666,90.08351982097187
28,84.104,90.15545076726343
29,84.102,90.04355818414322
30,87.014,91.13251278772378
31,87.56,91.26638427109974
32,87.658,91.31633631713555
33,87.822,91.24040920716112
34,88.024,91.4681905370844
35,88.118,91.35230179028133
36,88.166,91.40425191815856
37,88.432,91.4182384910486
38,88.442,91.57009271099744
39,88.326,91.53013107416879
40,90.546,92.13355179028133
41,91.232,92.50719309462916
42,91.254,92.51118925831202
43,91.608,92.53516624040921
44,91.64,92.43925831202046
45,91.932,92.71898976982096
46,91.74,92.58112212276215
47,91.798,92.71898976982096
48,92.058,92.68102621483376
49,91.918,92.63307225063939
50,93.506,93.23649296675192
51,93.982,93.37236253196932
52,94.178,93.29843350383632
53,94.202,93.5461956521739
54,94.378,93.45428388746804
55,94.418,93.58615728900256
56,94.584,93.48425511508951
57,94.666,93.5581841432225
58,94.616,93.61213235294117
59,94.786,93.72402493606138
60,95.654,94.10565856777494
61,96.12,94.12563938618926
62,95.986,94.24952046035806
63,96.304,94.15960677749361
64,96.33,94.3514226342711
65,96.366,94.31745524296676
66,96.402,94.221547314578
67,96.426,94.47130754475704
68,96.53,94.32544757033249
69,96.536,94.35342071611254
70,97.11,94.70308503836317
71,97.114,94.78700447570333
72,97.298,94.82496803069054
73,97.336,94.86892583120205
74,97.392,94.8849104859335
75,97.412,95.0207800511509
76,97.472,94.93086636828644
77,97.456,94.8909047314578
78,97.63,94.88690856777494
