,cifar10,fashionmnist
0,1.7201394,0.7858808
1,1.3671198,0.55740744
2,1.174935,0.49068475
3,1.0656644,0.46333295
4,1.0065045,0.43747762
5,0.9457812,0.41844302
6,0.9051427,0.4074275
7,0.87845445,0.39940494
8,0.8525538,0.38961425
9,0.83474725,0.3836992
10,0.69461703,0.33198053
11,0.67490417,0.32654366
12,0.65845126,0.32287657
13,0.6512808,0.3215019
14,0.6443532,0.3227944
15,0.6458459,0.3233755
16,0.6371198,0.3189879
17,0.6280673,0.3210448
18,0.622466,0.31544083
19,0.6097339,0.31770033
20,0.5088199,0.27495915
21,0.48783737,0.2690368
22,0.4793669,0.26865757
23,0.47401866,0.26909915
24,0.47770518,0.2702395
25,0.46783087,0.27148634
26,0.4690952,0.26895395
27,0.46878216,0.2662047
28,0.45894572,0.26715934
29,0.45730948,0.26745635
30,0.37542224,0.23870173
31,0.3583647,0.23263046
32,0.35537148,0.23151599
33,0.34867045,0.23188479
34,0.3433352,0.22889961
35,0.34122267,0.22848122
36,0.33942732,0.22968073
37,0.33754897,0.22743528
38,0.3359314,0.22780791
39,0.33590385,0.22908516
40,0.2726724,0.2109766
41,0.2540413,0.20127693
42,0.24737696,0.2028372
43,0.2422884,0.1996227
44,0.24163322,0.19947262
45,0.23398046,0.19524354
46,0.23602629,0.19976826
47,0.23212269,0.19753735
48,0.22876447,0.19647953
49,0.23083544,0.19842096
50,0.18947293,0.1821429
51,0.17084265,0.17686701
52,0.16701286,0.17828335
53,0.16733664,0.17131303
54,0.16048947,0.17514507
55,0.16115957,0.17286867
56,0.15601182,0.1738797
57,0.15385754,0.17108785
58,0.15342812,0.16980694
59,0.1490824,0.16815594
60,0.12697834,0.15942547
61,0.114082254,0.1566414
62,0.11525126,0.15216689
63,0.109492764,0.15674154
64,0.107042104,0.1520304
65,0.10722499,0.15236439
66,0.1034245,0.15226257
67,0.10177654,0.15009747
68,0.1005148,0.15176667
69,0.10144183,0.1499061
70,0.085560575,0.14261794
71,0.08443825,0.13980412
72,0.08014088,0.13820282
73,0.07776521,0.137483
74,0.07694952,0.13624494
75,0.0757156,0.13321316
76,0.07415679,0.1371427
77,0.0741695,0.13836147
78,0.07086141,0.13577797
79,0.0,0.0
80,0.0,0.0
81,0.0,0.0
82,0.0,0.0
83,0.0,0.0
84,0.0,0.0
85,0.0,0.0
86,0.0,0.0
87,0.0,0.0
88,0.0,0.0
89,0.0,0.0
90,0.0,0.0
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,0.0,0.0
101,0.0,0.0
102,0.0,0.0
103,0.0,0.0
104,0.0,0.0
105,0.0,0.0
106,0.0,0.0
107,0.0,0.0
108,0.0,0.0
109,0.0,0.0
110,0.0,0.0
111,0.0,0.0
112,0.0,0.0
113,0.0,0.0
114,0.0,0.0
115,0.0,0.0
116,0.0,0.0
117,0.0,0.0
118,0.0,0.0
119,0.0,0.0
120,0.0,0.0
121,0.0,0.0
122,0.0,0.0
123,0.0,0.0
124,0.0,0.0
125,0.0,0.0
126,0.0,0.0
127,0.0,0.0
128,0.0,0.0
129,0.0,0.0
130,0.0,0.0
131,0.0,0.0
132,0.0,0.0
133,0.0,0.0
134,0.0,0.0
135,0.0,0.0
136,0.0,0.0
137,0.0,0.0
138,0.0,0.0
139,0.0,0.0
140,0.0,0.0
141,0.0,0.0
142,0.0,0.0
143,0.0,0.0
144,0.0,0.0
145,0.0,0.0
146,0.0,0.0
147,0.0,0.0
148,0.0,0.0
149,0.0,0.0
150,0.0,0.0
151,0.0,0.0
152,0.0,0.0
153,0.0,0.0
154,0.0,0.0
155,0.0,0.0
156,0.0,0.0
157,0.0,0.0
158,0.0,0.0
159,0.0,0.0
160,0.0,0.0
161,0.0,0.0
162,0.0,0.0
163,0.0,0.0
164,0.0,0.0
165,0.0,0.0
166,0.0,0.0
167,0.0,0.0
168,0.0,0.0
169,0.0,0.0
170,0.0,0.0
171,0.0,0.0
172,0.0,0.0
173,0.0,0.0
174,0.0,0.0
175,0.0,0.0
176,0.0,0.0
177,0.0,0.0
178,0.0,0.0
179,0.0,0.0
180,0.0,0.0
181,0.0,0.0
182,0.0,0.0
183,0.0,0.0
184,0.0,0.0
185,0.0,0.0
186,0.0,0.0
187,0.0,0.0
188,0.0,0.0
189,0.0,0.0
190,0.0,0.0
191,0.0,0.0
192,0.0,0.0
193,0.0,0.0
194,0.0,0.0
195,0.0,0.0
196,0.0,0.0
197,0.0,0.0
198,0.0,0.0
199,0.0,0.0
