,cifar10,fashionmnist
0,93.652,93.06865409207161
1,93.858,93.1605658567775
2,93.748,93.20252557544757
3,93.828,93.2165121483376
4,93.846,93.18654092071611
5,93.774,92.96875
6,93.818,93.15257352941177
7,93.752,93.22850063938618
8,93.888,93.09462915601023
9,93.924,93.35637787723785
10,94.012,93.36836636828644
11,93.986,93.07265025575448
12,93.844,93.11660805626599
13,93.946,93.37835677749361
14,93.898,93.25847186700767
15,93.98,93.25247762148338
16,93.854,93.27046035805627
17,93.968,93.11061381074168
18,94.05,93.37635869565217
