,cifar10,fashionmnist
0,64.598,82.40888746803068
1,71.864,85.4779411764706
2,74.27,86.33511828644501
3,75.096,86.57488810741688
4,75.706,86.80067135549872
5,75.948,87.20028772378517
6,76.13,87.11237212276215
7,76.81,87.0404411764706
8,76.6,87.22426470588235
9,76.918,87.38011508951406
10,81.072,89.05450767263427
11,81.98,89.11644820971867
12,82.002,89.22434462915601
13,81.682,89.00255754475704
14,81.756,89.02253836317135
15,81.672,89.30626598465473
16,81.724,88.8886668797954
17,81.494,89.10046355498721
18,81.722,89.02054028132993
19,81.83,89.07648657289002
20,85.434,90.60901534526855
21,86.008,90.74888107416879
22,86.212,90.70891943734016
23,86.376,90.95668158567774
24,86.11,90.7548753196931
25,86.234,90.63898657289002
26,86.31,90.57105179028133
27,86.33,90.53508631713555
28,86.19,90.74888107416879
29,86.688,90.73689258312021
30,89.162,91.68997762148338
31,89.716,91.81785485933504
32,89.96,91.94773017902813
33,90.096,91.8218510230179
34,90.07,92.01166879795396
35,90.234,91.90976662404093
36,90.236,91.80586636828644
37,89.974,91.98769181585678
38,89.894,91.91376278772378
39,90.314,92.03964194373401
40,92.342,92.68502237851662
41,92.91,93.00671355498721
42,93.084,93.10861572890026
43,93.234,93.06665601023018
44,93.212,92.95276534526855
45,93.292,93.19852941176471
46,93.402,93.08463874680307
47,93.45,93.14458120204604
48,93.4,93.12060421994885
49,93.506,93.0866368286445
50,94.938,93.61812659846548
51,95.164,93.78396739130434
